fim;veredito;uf;municipio;edital;objeto;pagina_oficial;validacao;proximo_passo;id
2026-09-13;aprovado;;;Edital Encantando Comunidades: Recursos Flexiveis - Instituto Lojas Renner;Apoio financeiro para que organizacoes da sociedade civil invistam em necessidades institucionais, fortalecendo sua atuacao e contribuindo para sua sustentabilidade. Ate 30 organizacoes selecionadas, R$ 10 mil cada. Territorios: Porto Alegre/RS (Comunidade Bom Jesus), Rio de Janeiro/RJ (Zona Oeste) e SP (Cabreuva, Itu, Jundiai, Pirapora do Bom Jesus, Porto Feliz, Sorocaba, Votorantim).;https://www.institutolojasrenner.org.br/edital-encantando-comunidades/;triagem;;2d48def6
2026-09-13;aprovado;;;Editais Sociais 2026 - Banco do Nordeste;Editais Sociais 2026 do Banco do Nordeste: selecao de projetos aptos a captacao de recursos por meio de incentivos fiscais, nas linhas Lei 8.069/1990 (Fundo da Infancia e Adolescencia - FIA), Leis 10.741 e 12.213 (Estatuto da Pessoa Idosa), Lei Complementar 222/2025 (Incentivo ao Esporte) e Lei 12.715/2012 (Pronon e Pronas-PCD, continuidade da terceira etapa iniciada em 2025). Aporte de ate R$ 1,5 milhao por projeto.;https://www.bnb.gov.br/web/guest/sustentabilidade/investimentos-sociais-e-esportivos;triagem;;4213fa57
2026-09-13;aprovado;;;Edital Encantando Comunidades: Recursos Flexiveis - Instituto Lojas Renner;Apoio financeiro para que organizacoes da sociedade civil invistam em necessidades institucionais, fortalecendo sua atuacao e contribuindo para sua sustentabilidade. Ate 30 organizacoes selecionadas, R$ 10 mil cada. Territorios: Porto Alegre/RS (Comunidade Bom Jesus), Rio de Janeiro/RJ (Zona Oeste) e SP (Cabreuva, Itu, Jundiai, Pirapora do Bom Jesus, Porto Feliz, Sorocaba, Votorantim).;https://www.institutolojasrenner.org.br/edital-encantando-comunidades/;triagem;;7e4d2f0c
2026-09-13;aprovado;;;Edital Encantando Comunidades: Recursos Flexiveis - Instituto Lojas Renner;Apoio financeiro para que organizacoes da sociedade civil invistam em necessidades institucionais, fortalecendo sua atuacao e contribuindo para sua sustentabilidade. Ate 30 organizacoes selecionadas, R$ 10 mil cada. Territorios: Porto Alegre/RS (Comunidade Bom Jesus), Rio de Janeiro/RJ (Zona Oeste) e SP (Cabreuva, Itu, Jundiai, Pirapora do Bom Jesus, Porto Feliz, Sorocaba, Votorantim).;https://www.institutolojasrenner.org.br/edital-encantando-comunidades/;triagem;;c5c7e37e
2026-09-13;aprovado;;;Edital Encantando Comunidades: Recursos Flexiveis - Instituto Lojas Renner;Apoio financeiro para que organizacoes da sociedade civil invistam em necessidades institucionais, fortalecendo sua atuacao e contribuindo para sua sustentabilidade. Ate 30 organizacoes selecionadas, R$ 10 mil cada. Territorios: Porto Alegre/RS (Comunidade Bom Jesus), Rio de Janeiro/RJ (Zona Oeste) e SP (Cabreuva, Itu, Jundiai, Pirapora do Bom Jesus, Porto Feliz, Sorocaba, Votorantim).;https://www.institutolojasrenner.org.br/edital-encantando-comunidades/;triagem;;f1b4312a
2026-09-13;aprovado;;;Edital Encantando Comunidades: Recursos Flexiveis - Instituto Lojas Renner;Apoio financeiro para que organizacoes da sociedade civil invistam em necessidades institucionais, fortalecendo sua atuacao e contribuindo para sua sustentabilidade. Ate 30 organizacoes selecionadas, R$ 10 mil cada. Territorios: Porto Alegre/RS (Comunidade Bom Jesus), Rio de Janeiro/RJ (Zona Oeste) e SP (Cabreuva, Itu, Jundiai, Pirapora do Bom Jesus, Porto Feliz, Sorocaba, Votorantim).;https://www.institutolojasrenner.org.br/edital-encantando-comunidades/;triagem;;f901a730
2026-09-15;aprovado;DF;Brasília;239;Credenciamento de organizações da sociedade civil, para fins de habilitação prévia e composição de cadastro de parceiros aptos a propor, estruturar e executar, de forma descentralizada, projetos de impacto voltados ao fortalecimento do ecossistema de empreendedorismo feminino e ao desenvolvimento sustentável dos pequenos negócios, em consonância com as diretrizes do Núcleo Estratégico de Empreendedorismo Feminino (NEEF), criado pela Portaria a MEMP nº 261, de 2 de julho de 2026.;https://pncp.gov.br/app/editais/18299670000116/2026/59;fechada;;8de3468c
2026-09-16;reprovado;SC;Florianópolis;66;Torna-se público, para conhecimento dos interessados, que o CONSELHO REGIONAL DE CORRETORES DE IMÓVEIS DE SANTA CATARINA – CRECI – 11ª Região/SC, por meio do seu Setor de Licitação e Contratos, sediado na Rua Fúlvio Aducci, n° 1.214, Ed. A&A Philippi Business Center, 10º Andar, Estreito, CEP 88075-001, na cidade de Florianópolis/SC, realizará CHAMAMENTO PÚBLICO para locação de imóvel na cidade de Itapema/SC, através da celebração de Termo de Contrato, nos termos das Leis nº 8.245/1991 e 14.133/2;https://pncp.gov.br/app/editais/82894098000132/2026/67;triagem;;f3fad19f
2026-09-22;aprovado;PR;Curitiba;28;CHAMAMENTO PÚBLICO RESÍDUOS SÓLIDOS;https://pncp.gov.br/app/editais/76669324000189/2026/128;fechada;;c4425625
2026-09-25;aprovado;;;Chamadas 07/2026 e 08/2026 - Programa Biodiversidade Litoral do Parana (Funbio);Chamada 07/2026 - Apoio a Consolidacao de RPPNs no litoral do Parana: implementacao de Planos de Manejo em Reservas Particulares do Patrimonio Natural nos municipios de Antonina, Guaraquecaba, Morretes, Paranagua, Guaratuba, Matinhos e Pontal do Parana. Elegiveis: organizacoes da sociedade civil com atuacao na area ambiental. | Chamada 08/2026 - implementacao de Planos de Uso Publico, outros instrumentos de uso publico e fortalecimento de negocios sustentaveis nas mesmas RPPNs, mesmos elegiveis.;https://chamadas.funbio.org.br/planodemanejo-rppn;triagem;;6f2170b1
