prioridade;situacao;fim;dias_restantes;veredito;uf;municipio;orgao;titulo;faltam;pagina_oficial;motivo_sem_pagina_oficial;familia_de_rota;exige_navegador;id
1;aberto;2026-09-15;0;aprovado;DF;Brasília;SECRETARIA DA MICRO E PEQUENA EMPRESA;Credenciamento de organizações da sociedade civil, para fins de habilitação prévia e composição de cadastro de parceiros aptos a propor, estruturar e executar, de forma descentralizada, projetos de impacto voltados ao fortalecimento do ecossistema de empreendedorismo feminino e ao desenvolvimento su;página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;8de3468c73e21f339b92
1;aberto;2026-09-22;7;aprovado;PR;Curitiba;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;28;objeto, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;c4425625
1;aberto;2026-09-25;10;aprovado;SP;Indaiatuba;MUNICIPIO DE INDAIATUBA;Seleção de propostas para a celebração de parceria entre o Município de Indaiatuba, por intermédio da Secretaria Municipal de Serviços Urbanos e Meio Ambiente e as Organizações da Sociedade Civil (OSC) de proteção animal, devidamente constituídas e legalizadas no Município, para a execução de ações,;página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;02beaaebc68cfe0ebe7b
1;aberto;2026-10-07;22;aprovado;RS;;PNCP — MUNICIPIO DE OSORIO;O presente Chamamento Público se destina a selecionar Organizações da Sociedade Civil (OSC) sem fins lucrativos, para fi;página oficial;;nenhum endereço capturado;;nao;81a444690ae9d6a7fc56
2;aberto;2026-11-09;55;atencao;MG;Montes Claros;MUNICIPIO DE MONTES CLAROS;CHAMAMENTO PUBLICO PARA CREDENCIAMENTO DE INSTITUICOES PRIVADAS COM OU SEM FINS LUCRATIVOS ESPECIALIZADA NA PRESTACAO DE SERVICO DE ACOLHIMENTO DE LONGA PERMANENCIA PARA PESSOAS IDOSAS DO SEXO FEMININO E MASCULINO COM GRAU DE DEPENDENCIA I II E III CONFORME RESOLUCAO DE DIRETORIA COLEGIADA RD;página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;8ed7377b4962ae08907b
2;aberto;2026-12-10;86;atencao;PR;Guarapuava;UNIVERSIDADE ESTADUAL DO CENTRO OESTE;Credenciamento de associações, cooperativas, entidades sem fins lucrativos e empresas para a coleta seletiva solidária, transporte, triagem e destinação ambientalmente adequada do papel branco proveniente dos resíduos gerados nos Municípios de Guarapuava e Irati da UNICENTRO;página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;f5f21c7b1d22fd5f7741
2;aberto;2029-11-05;1147;atencao;SP;Peruíbe;MUNICIPIO DE PERUIBE;CREDENCIAMENTO DE INSTITUIÇÕES PRIVADAS, COM OU SEM FINS LUCRATIVOS, INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS, INTERESSADAS EM PRESTAR SERVIÇOS DE FORMA COMPLEMENTAR AO SISTEMA ÚNICO DE ASSISTÊNCIA SOCIAL (SUAS), REFERENTE AO ACOLHIMENTO INSTITUCIONAL DE PESSOAS IDOSAS A PARTIR DE 60 ANOS;página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;b858a9eb612d1ab1fe14
3;sem_prazo_confirmado;;;aprovado;RS;RS/Lagoa Vermelha;PNCP — MUNICIPIO DE LAGOA VERMELHA;CHAMAMENTO PÚBLICO, objetivando a celebração de TERMO DE COLABORAÇÃO com Organização da Sociedade Civil (OSC), mediante apoio financeiro do Município, para a execução de plano de trabalho voltado à Realização do projeto &#8220,Oficinas de Dança Tradicionalista&#8221,, visando promover atividades de;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;0b2e6b2eabe51d022e5e
3;sem_prazo_confirmado;;;aprovado;BA;BA/Dias d'Ávila;PNCP — MUNICIPIO DE DIAS D'AVILA;Chamamento público para premiação de agentes culturais, pessoa física, residentes e domiciliados no Município de Dias D`Ávila/BA, mediante seleção de artistas (solo), duplas (grupo coletivo) e grupos de dança (grupo coletivo) para participarem da 2º Edição do Festival Conexão Dança 2027.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;0ce9e2dee2377128a078
3;sem_prazo_confirmado;;;aprovado;;;;Seleção Pública de Projetos para Patrocínio Cultural nº 01/2025 - Projetos Audiovisuais de Longa-metragem;prazo de inscrição;https://www.bndes.gov.br/wps/portal/site/home/transparencia/patrocinios/selecao-publica-patrocinio-cultural-01-2025;;portal_em_javascript;sim;0e732756dd062c3ae737
