id;estado;veredito;familia;uf;municipio;inicio;fim;prazo;rota_usada;achado;proximo_passo;objeto;pagina_oficial
001575a8;fechada;aprovado;;RS;Passo Fundo;2024-10-22;2024-10-22;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de ORGANIZACOES DA SOCIEDADE CIVIL, sem fins lucrativos, para realizacao de tres projetos de acoes e eventos natalinos ao ar livre, em Passo Fundo/RS. Destinatario exclusivo sao OSCs e o que se apresenta e PROJETO: fomento a projeto cultural. A API devolve 22/10/2024 nas duas datas — fachada, prazo real no edital. Evento anual: revisitar em setembro.;;Credenciamento de Organizações da Sociedade Civil - OSCs, sem fins lucrativos, destinados a realização de 03 (três) de projetos de ações/eventos natalinos ao ar livre, atendendo os critérios estabelecidos neste Edital.;https://pncp.gov.br/app/editais/87612537000190/2024/211
004fceda;fechada;reprovado;servico_ao_orgao;PR;Pato Branco;2026-09-01;2026-09-01;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Chamamento 001/2023 do Consorcio Intermunicipal de Saude: credenciamento de pessoas juridicas para realizacao de TERAPIAS. Prazo confirmado 01/09/2026 (data unica, e o registro e um dos varios atos de adesao ao mesmo credenciamento permanente).;;Chamamento Público nº 001/2023 - Credenciamento de pessoas jurídicas para a realização de terapias.;https://pncp.gov.br/app/editais/00136858000188/2026/222
00accb2a;fechada;reprovado;compra_ou_fornecimento;MT;Sorriso;2024-04-30;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade compra_ou_fornecimento: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;CREDENCIAMENTO DE ASSOCIAÇÕES E COOPERATIVAS DE AGRICULTURA FAMILIAR PARA FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS ELENCADOS NO PRESENTE TERMO DE REFERÊNCIA COM BASE NA TABELA DE PREÇOS DA SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, PARA ATENDER PARTICIPANTES DO CADASTRO ÚNICO EM SITUAÇÃO DE VULNERABILIDADE SOCIAL POR MEIO DA DOAÇÃO DE ALIMENTOS.;https://pncp.gov.br/app/editais/03239076000162/2024/28
02beaaeb;fechada;aprovado;;SP;Indaiatuba;2026-09-25;2026-09-25;aberto;documento do edital anexado pelo proprio orgao ao registro do PNCP, baixado e lido por pdf.js no navegador do titular (origem declarada);"FECHADO E ABERTO — LIDO NO EDITAL DE 53 PAGINAS. O objeto do documento e explicito: ""DO OBJETO DO TERMO DE COLABORACAO 2.1 - Constitui objeto do presente chamamento publico a selecao de Organizacoes da Sociedade Civil (OSCs) de protecao animal, sem fins lucrativos, devidamente legalizadas no municipio para a celebracao de [termo de colaboracao]"", com fundamento na Lei Federal 13.019/2014 e plano de trabalho. PRAZO CONFIRMADO NO DOCUMENTO: ""Local e Data da Entrega dos Envelopes: Departamento de Protocolo, ate as 09:00 horas do dia 25/09/2026. Abertura: 09:00 horas do dia 25/09/2026."" Ou seja: a data que a API devolvia NAO era fachada, era o prazo real. FOMENTO INEQUIVOCO, ABERTO, FECHA EM 25/09/2026 AS 09h00 — entrega presencial de envelope no Departamento de Protocolo de Indaiatuba/SP.";;Seleção de propostas para a celebração de parceria entre o Município de Indaiatuba, por intermédio da Secretaria Municipal de Serviços Urbanos e Meio Ambiente e as Organizações da Sociedade Civil (OSC) de proteção animal, devidamente constituídas e legalizadas no Município, para a execução de ações, projetos e atividades voltados à proteção e ao bem-estar animal, com recursos provenientes do Fundo Municipal de Proteção aos Animais - FMPA, mediante prévia aprovação do Conselho Municipal de Proteção e Defesa dos Animais - COMPDA, nos termos da Lei Municipal nº 6.790, de 21 de setembro de 2017.;https://pncp.gov.br/app/editais/44733608000109/2026/765
02d35de7;fechada;reprovado;compra_ou_fornecimento;PR;Arapongas;2024-04-15;2024-05-14;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de escolas e colegios PRIVADOS para concessao de bolsas de estudo em cursos tecnicos, projeto Jovem Empreendedor de Arapongas/PR. E compra de vaga em escola privada. Prazo confirmado 15/04 a 14/05/2024.;;"CREDENCIAMENTO de escolas/colégios privados, para atender a Lei nº 4.939, de 19 de março de 2021, que dispõe sobre a Instituição de Projeto ""Jovem Empreendedor"" e tem por objetivo a concessão de bolsas de estudo que ofereçam cursos técnicos para o setor industrial em concomitância com o ensino médio, em atendimento a SEMUDE.";https://pncp.gov.br/app/editais/76958966000106/2024/208
05468aae;fechada;reprovado;instituicao_financeira;MG;Patos de Minas;2024-07-04;2024-07-04;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de pessoas juridicas autorizadas pelo Banco Central, prestadoras de servicos financeiros, para arrecadacao de receitas do Municipio de Patos de Minas. Prazo confirmado 04/07/2024.;;[Publicenter] - Chamamento Público para o credenciamento e contratação de pessoas jurídicas, autorizadas a funcionar pelo Banco Central do Brasil, prestadoras de serviços de natureza financeira, para arrecadação de receitas diversas do Município de Patos de Minas.;https://pncp.gov.br/app/editais/18602011000107/2024/252
08f8860a;fechada;reprovado;parecerista_ou_juri;SP;SP/Fernandópolis;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade parecerista_ou_juri: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;CREDENCIAMENTO de pessoas jurídicas especializadas, por meio do procedimento auxiliar previsto no art. 78, inciso I, e no art. 79, inciso I, da Lei nº 14.133/2021, para formação de banco de pareceristas e posterior contratação, por inexigibilidade de licitação, com fundamento no art. 74, inciso IV,;
0b74c8f7;fechada;reprovado;pagina_indice_de_terceiros;;;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade pagina_indice_de_terceiros: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;;
0c3d1eb5;fechada;pendencia;fonte_oficial_inacessivel;;;;;sem_prazo_confirmado;tentadas quatro rotas: fundacaomariaemilia.org.br, www.fundacaomariaemilia.org.br, fmariaemilia.org.br e fme.org.br;PENDENCIA CONFIRMADA, e agora com o motivo tecnico medido. O dominio fundacaomariaemilia.org.br tem certificado SSL invalido (hostname mismatch) e nao abre nem por requisicao nem por navegador, www.fundacaomariaemilia.org.br e fmariaemilia.org.br nao resolvem em DNS, fme.org.br e de outra instituicao (Fundacao Maconica Educacional). O unico canal citado pela materia e um formulario do Google, que nao e dominio do patrocinador. Indicio nao confirmado: inscricoes ate 30/10/2026, valor de ate R$ 1 milhao em saude e educacao. NAO registrei a data, porque a unica fonte e portal de noticia. ACAO: telefone ou e-mail para a Fundacao Maria Emilia. Prioridade alta se o prazo se confirmar.;;Edital FME Transforma n 02/2026 - financiamento de projetos em saude e educacao em cinco eixos: Inovacao Tecnologica em Saude, Saude Publica e Meio Ambiente, Saude na Infancia e Adolescencia, Envelhecimento Saudavel, e Acesso e Qualidade na Educacao. Propostas de ate R$ 1 milhao. Elegiveis: organizacoes sem fins lucrativos, instituicoes de ensino superior e pesquisa, fundacoes, institutos e OSC com pelo menos dois anos de constituicao, exige parceria institucional e coordenador com doutorado.;
0ca64575;fechada;reprovado;resultado_de_edital;SC;Araranguá;2026-09-01;2026-09-01;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Contratacao de assessoria tecnica em comunicacao e educacao em saude DECORRENTE do Edital de Chamamento 001/CISAMESC/2026, nos termos de contrato de programa e contrato de rateio do consorcio de saude da AMESC. E o ato de contratacao, nao o edital. Araranguá/SC, 01/09/2026.;;Contratação de Serviço de Contratação de Assessoria Técnica em Comunicação e Educação em Saúde, conforme Comunicação Interna da Secretaria Municipal de Saúde de Araranguá, datada de 18/08/2026, nos termos do contrato de programa nº 002/2026, celebrado entre o CONSÓRCIO PÚBLICO INTERFEDERATIVO DE SAÚDE DA AMESC - CISAMESC e o Fundo Municipal de Saúde de Araranguá e CONTRATO DE RATEIO Nº 001-R/CISAMESC/2026 e decorrente do EDITAL DE CHAMAMENTO PÚBLICO Nº 001/CISAMESC/2026.;https://pncp.gov.br/app/editais/01356308000137/2026/56
0d4f0342;fechada;reprovado;servico_ao_orgao;SC;Aurora;2024-02-08;2024-03-08;encerrado;objeto integral declarado pelo proprio orgao na API oficial de consulta do PNCP, lido registro por registro;Credenciamento de PJ com ou sem fins lucrativos e de pessoas fisicas da area de saude para CONTRATACAO DE MEDICOS em oito especialidades e ultrassonografia, em Aurora/SC, na Lei 14.133/2021. Contratacao de medico. Prazo confirmado 08/02 a 08/03/2024.;;O Município de AURORA através da SECRETARIA MUNICIPAL DA SAÚDE, torna público que, a realização de CREDENCIAMENTO visando avaliar pessoas jurídicas de direito privado, com ou sem fins lucrativos, e pessoas físicas, cujas atividades sejam dirigidas à saúde, a fim de que possam ser cadastradas para efeitos de credenciamento que atuarão mediante CONTRATAÇÃO DE MÉDICOS NAS ÁREAS DE CLINICO GERAL, PSIQUIATRA, PEDIATRA, FONOAUDIOLÓGO, NEUROLOGIA CLÍNICA, GINECO-OBSTETRA, BUCOMAXILOFACIAL E SERVIÇOS DE ULTRASSONOGRAFIA (CONFORME ANEXO VI) PARA ATENDIMENTO NA UNIDADE BÁSICA DE SAÚDE JOSÉ MATIAS NECKEL, de acordo com as necessidades da Secretaria da Saúde do Município de AURORA, em conformidade com as normas estabelecidas no presente Edital e na Lei Federal nº 14.133 de 1 de abril de 2021 e suas alterações.;https://pncp.gov.br/app/editais/11327490000151/2024/1
0d8ec883;fechada;reprovado;servico_ao_orgao;MG;MG/Santa Vitória;;;sem_prazo_confirmado;decidido pelo proprio objeto, sem necessidade do documento;Familia de inconformidade servico_ao_orgao: o objeto por si so define o veredito. Prazo nao confirmado deixou de importar, porque o registro nao e edital de fomento a OSC e nenhuma data mudaria isso.;;Chamada Pública para credenciamento de pessoas jurídicas, sem caráter de exclusividade, com onerosidade, de caráter eventual, sem dependência econômica, por conta própria e com a assunção de seus próprios riscos, para PRESTAÇÃO DE SERVIÇOS FUNERÁRIOS, para o atendimento de famílias em situação de vu;
0e732756;fechada;aprovado;;;;;;sem_prazo_confirmado;pagina de patrocinios do proprio BNDES, lida pelo navegador do titular;Selecao Publica 01/2025 de Patrocinio Cultural (audiovisuais de longa-metragem): edicao SUPERADA pelo Edital de Cinema 2026 (Selecao Publica 01/2026), cujas inscricoes encerraram em 13/08/2026 as 17h59 e cuja lista de pre-qualificados saiu em 04/09/2026. A pagina de 2025 segue no ar como historico. Datas de 2025 nao registradas: a edicao esta encerrada e substituida, e estimar data de edicao vencida nao serve a nada. Porta permanente do BNDES: Escolha Direta em fluxo continuo, com os ciclos de 2027 ainda por divulgar.;;Selecao Publica de Projetos para Patrocinio Cultural n 01/2025 - Projetos Audiovisuais de Longa-metragem.;https://www.bndes.gov.br/wps/portal/site/home/transparencia/patrocinios/selecao-publica-patrocinio-cultural-01-2025
