fecha;dias;alcance;veredito;uf;orgao;objeto;pagina_oficial;parecer;id
2026-09-23;0;FORA (CE);atencao;CE;PNCP — MUNICIPIO DE IPU;CHAMAMENTO PÚBLICO DESTINADO À CELEBRAÇÃO DE TERMO DE COLABORAÇÃO COM O MUNICÍPIO DE IPU, ESTADO DO CEARÁ, POR INTERMÉDIO DA SECRETARIA MUNICIPAL DE EDUCAÇÃO, VISANDO À EXECUÇÃO DE AÇÕES INTEGRADAS E COMPLEMENTARES DESTINADAS AO FORTALECIMENTO DA POLÍTICA PÚBLICA EDUCACIONAL MUNICIPAL, CONFORME LEI 13.019/2014.;https://pncp.gov.br/pncp-api/v1/orgaos/07679723000108/compras/2026/56/arquivos/1;fora da abrangencia aprovada: exige sede ou atuacao no municipio;2ba35f9a49970753e57d
2026-09-25;2;FORA (SP);aprovado;SP;MUNICIPIO DE INDAIATUBA;Seleção de propostas para a celebração de parceria entre o Município de Indaiatuba, por intermédio da Secretaria Municipal de Serviços Urbanos e Meio Ambiente e as Organizações da Sociedade Civil (OSC) de proteção animal, devidamente constituídas e legalizadas no Município, para a execução de ações, projetos e atividades voltados à proteção e ao bem-estar animal, com recursos provenientes do Fundo Municipal de Proteç;https://pncp.gov.br/app/editais/44733608000109/2026/765;fora da abrangencia aprovada: exige sede ou atuacao no municipio;02beaaeb
2026-09-25;2;dentro (nacional);aprovado;;Chamadas 07/2026 e 08/2026 - Programa Biodiversidade Litoral do Parana;Chamada 07/2026 - Apoio a Consolidacao de RPPNs no litoral do Parana: implementacao de Planos de Manejo em Reservas Particulares do Patrimonio Natural nos municipios de Antonina, Guaraquecaba, Morretes, Paranagua, Guaratuba, Matinhos e Pontal do Parana. Elegiveis: organizacoes da sociedade civil com atuacao na area ambiental. | Chamada 08/2026 - implementacao de Planos de Uso Publico, outros instrumentos de uso publi;https://chamadas.funbio.org.br/planodemanejo-rppn;patrocinador nacional com edital TERRITORIAL (litoral do Parana): AMC nao e elegivel;6f2170b1
2026-09-30;7;FORA (RS);atencao;RS;PNCP — MUNICIPIO DE LAGOA VERMELHA;"CHAMAMENTO PÚBLICO, objetivando a celebração de TERMO DE COLABORAÇÃO com Organização da Sociedade Civil (OSC), mediante apoio financeiro do Município, para a execução de plano de trabalho voltado à Realização do projeto ""Oficinas de Dança Tradicionalista"", visando promover atividades de formação, desenvolvimento e prática da dança, contribuindo para a valorização da cultura do Rio Grande do Sul, o desenvolvimento art";https://pncp.gov.br/pncp-api/v1/orgaos/87613626000151/compras/2026/373/arquivos/1;fora da abrangencia aprovada: exige sede ou atuacao no municipio;0b2e6b2eabe51d022e5e
2026-10-02;9;FORA (SP);atencao;SP;PNCP — MUNICIPIO DE ITATINGA;Seleção de projetos para firmar termo de execução cultural com recursos da política nacional Aldir Blanc de fomento à cultura – PNAB (lei nº 14.399/2022) - Proc. Administrativo 2.654/2026;https://pncp.gov.br/pncp-api/v1/orgaos/46634127000163/compras/2026/1974/arquivos/1;fora da abrangencia aprovada: exige sede ou atuacao no municipio;f0808d006f8c34765c9a
2026-10-07;14;FORA (RS);aprovado;RS;PNCP — MUNICIPIO DE OSORIO;O presente Chamamento Público se destina a selecionar Organizações da Sociedade Civil (OSC) sem fins lucrativos, para firmar parceria através de Termo de Colaboração, em regime de mútua colaboração com a Administração pública, para a execução de projeto e/ou atividade pelo prazo de 12 (doze) meses, prorrogáveis até 12 (doze) meses, mediante solicitação, voltadas à promoção e defesa de direitos e/ou de atendimento des;;fora da abrangencia aprovada: exige sede ou atuacao no municipio;81a444690ae9d6a7fc56
2026-10-08;15;FORA (PR);atencao;PR;PNCP — MUNICIPIO DE GUAIRA;Chamamento Público para firmar Termo de Colaboração com Organização da Sociedade Civil, sem fins lucrativos, que execute Serviço de Educação Básica e de Atendimento Educacionais para educandos com Deficiência Intelectual, Múltipla Deficiências e Transtornos Globais do Desenvolvimento, no município de Guaíra/PR, conforme condições estabelecidas no Edital e seus anexos. Conforme Memorando n° 1.813/2026.;https://pncp.gov.br/pncp-api/v1/orgaos/77857183000190/compras/2026/288/arquivos/1;fora da abrangencia aprovada: exige sede ou atuacao no municipio;d54cfaf8f5934750f912
2026-10-09;16;FORA (SP);atencao;SP;PNCP — MUNICIPIO DE PORTO FELIZ;PREMIO CULTURAL COM RECURSOS DA POLITICA NACIONAL ALDIR BLANC DE FOMENTO A CULTURA NO MUNICIPIO DE PORTO FELIZ SP LEI N 14.399 2022;https://pncp.gov.br/pncp-api/v1/orgaos/46634481000198/compras/2026/203/arquivos/1;fora da abrangencia aprovada: exige sede ou atuacao no municipio;42d12155e382f973b4a6
2026-10-11;18;dentro (nacional);aprovado;BR;MDHC / CONANDA — Ministerio dos Direitos Humanos e da Cidadania;Chamamento público para seleção de organizações da sociedade civil para celebração de termo de fomento visando à execução de projetos de fortalecimento do Sistema de Garantia dos Direitos da Criança e do Adolescente (SGDCA) e do Sistema Nacional de Atendimento Socioeducativo (SINASE). Seis propostas selecionadas, três por linha de atuação, até R$ 1.000.000,00 por projeto, valor global de R$ 6.000.000,00. Edital de Ch;https://www.gov.br/mdh/pt-br/navegue-por-temas/crianca-e-adolescente/publicacoes/editais;coalizao: entrar como executora Centro-Oeste de rede nacional. Exige registro no CMDCA e execucao em 5 regioes;97292f2d3c686703e79e
2026-10-30;37;dentro (nacional);aprovado;BR;Fundacao Maria Emilia — Edital FME Transforma;"EDITAL FME TRANSFORMA No 02/2026 da Fundacao Maria Emilia: ""O presente edital tem como objetivo selecionar e apoiar projetos nas areas de Saude e Educacao que contribuam para a producao de conhecimento, o desenvolvimento de solucoes, o fortalecimento de praticas e a melhoria de servicos nessas areas, com impacto social relevante.""";https://mariaemilia.org.br/edital-fme-transforma/;destravavel: exige coordenador com DOUTORADO. Buscar parceria com universidade de Goiania;0c3d1eb59b2a598a0393
