id;motivo;familia;orgao;uf;fim;acao
20ec3e11386b87af1e16;reprovado por objeto: nao e edital de fomento a OSC;Concurso de premiação a artesãos (pessoa física ou jurídica) para confecção, entrega e mon;PNCP — MUNICIPIO DE FARROUPILHA;RS;2026-10-28;arquivar no historico, retirar da fila de verificacao e do painel de abertos
bf89ef0c39788a84b9d1;reprovado por objeto: nao e edital de fomento a OSC;Credenciamento de parecerista/avaliador — inscrição de profissionais para compor Subcomiss;PNCP — MUNICIPIO DE GUAIRA;PR;2024-02-05;arquivar no historico, retirar da fila de verificacao e do painel de abertos
7c1d235d56365c9c24b4;reprovado por objeto: nao e edital de fomento a OSC;Credenciamento de parecerista/avaliador — seleção de profissionais para compor Subcomissão;PNCP — IPOJUCA CAMARA MUNICIPAL;PE;;arquivar no historico, retirar da fila de verificacao e do painel de abertos
d297e885025d1befc94d;reprovado por objeto: nao e edital de fomento a OSC;Credenciamento de asilos/ILPI — prestação de serviço de acolhimento ao município remunerad;PNCP — MUNICIPIO DE TRIUNFO;RS;2024-12-31;arquivar no historico, retirar da fila de verificacao e do painel de abertos
c3d47bb145833ff5f916;reprovado por objeto: nao e edital de fomento a OSC;credenciamento de prestador de serviço de saúde remunerado por procedimento, aberto a pess;PNCP — CONSORCIO PUBLICO DE SAUDE DA MICRORREGIAO DE CRATEUS - CPSMCR;CE;;arquivar no historico, retirar da fila de verificacao e do painel de abertos
1a5c559c5de819b1d25c;reprovado por objeto: nao e edital de fomento a OSC;busca de patrocinador pelo próprio órgão — a entidade pagaria, não receberia;PNCP — MUNICIPIO DE LAGOA VERMELHA;RS;;arquivar no historico, retirar da fila de verificacao e do painel de abertos
f44e311d4a4e5865cd2d;reprovado por objeto: nao e edital de fomento a OSC;contratação de prestador de serviço de acolhimento remunerado por vaga;PNCP — FUNDO MUNICIPAL DE SAUDE DE SAO BENTO DO SUL;SC;;arquivar no historico, retirar da fila de verificacao e do painel de abertos
7e5cfad2137f172eb56c;reprovado por objeto: nao e edital de fomento a OSC;credenciamento para fornecimento de espaço — locação de bem, aberto a pessoa física;PNCP — MUNICIPIO DE ALTO FELIZ;RS;;arquivar no historico, retirar da fila de verificacao e do painel de abertos
4130058eb4a6fac34bd9;reprovado por objeto: nao e edital de fomento a OSC;credenciamento de parecerista/avaliador para subcomissão técnica de julgamento;PNCP — MUNICIPIO DE SAO ROQUE;SP;;arquivar no historico, retirar da fila de verificacao e do painel de abertos
087e80b98c5cf7da0b81;reprovado por objeto: nao e edital de fomento a OSC;manifestação de interesse de proprietários de área rural — captação de imóvel, não repasse;PNCP — MUNICIPIO DE AGROLANDIA;SC;;arquivar no historico, retirar da fila de verificacao e do painel de abertos
32b6a165f6e49a6d716d;reprovado por objeto: nao e edital de fomento a OSC;prospecção de imóvel para locação;PNCP — SANTA CATARINA TRIBUNAL DE JUSTICA;SC;;arquivar no historico, retirar da fila de verificacao e do painel de abertos
6a15cb79016572930cd8;reprovado por objeto: nao e edital de fomento a OSC;locação de imóvel urbano para sede de órgão público;PNCP — ESTADO DA BAHIA;BA;;arquivar no historico, retirar da fila de verificacao e do painel de abertos
14a08a92997115da8279;reprovado por objeto: nao e edital de fomento a OSC;prazo encerrado em 12/06/2025 e certame ja contratado (minutas de contrato juntadas em 17/;PNCP — MUNICIPIO DE IPORA;PR;2025-06-12;arquivar no historico, retirar da fila de verificacao e do painel de abertos
244e3090efac17f5c82b;reprovado por objeto: nao e edital de fomento a OSC;prazo encerrado em 05/09/2025;PNCP — MUNICIPIO DE CAMPO MOURAO;PR;2025-09-05;arquivar no historico, retirar da fila de verificacao e do painel de abertos
2e216c29f9b5444501ba;reprovado por objeto: nao e edital de fomento a OSC;edital de 2024 com prazo encerrado, data da API autocontraditoria (encerramento anterior a;PNCP — MUNICIPIO DE COLIDER;MT;;arquivar no historico, retirar da fila de verificacao e do painel de abertos
34fcd0f7fbf6291a42f3;reprovado por objeto: nao e edital de fomento a OSC;nao e fomento a OSC: selecao de OSCIP (Lei 9.790/99) para executar servicos de saude do mu;PNCP — MUNICIPIO DE MIRASSOL D'OESTE;MT;2025-08-20;arquivar no historico, retirar da fila de verificacao e do painel de abertos
