id;uf;orgao;fim;motivo;acao
8c6a2a0e25ff8b32702d;RO;PNCP — MUNICIPIO DE JARU;2026-09-21;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
ccf2796183121fdbd963;RO;PNCP — MUNICIPIO DE JARU;2026-09-22;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
2ba35f9a49970753e57d;CE;PNCP — MUNICIPIO DE IPU;2026-09-23;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
0b2e6b2eabe51d022e5e;RS;PNCP — MUNICIPIO DE LAGOA VERMELHA;2026-09-30;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
42d12155e382f973b4a6;SP;PNCP — MUNICIPIO DE PORTO FELIZ;2026-10-09;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
d54cfaf8f5934750f912;PR;PNCP — MUNICIPIO DE GUAIRA;2026-10-08;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
f0808d006f8c34765c9a;SP;PNCP — MUNICIPIO DE ITATINGA;2026-10-02;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
81a444690ae9d6a7fc56;RS;PNCP — MUNICIPIO DE OSORIO;2026-10-07;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
5b2002af84d7311550c8;SC;PNCP — MUNICIPIO DE XANXERE;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
a36ee8a76017ea615080;MT;PNCP — MUNICIPIO DE RONDONOPOLIS;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
5865b8b689804b8e557e;MT;PNCP — MUNICIPIO DE NOVA UBIRATA;;fora da abrangencia aprovada pelo titular (nacional + GO + Goiania): edital municipal de outra UF, cujo proponente precisa ter sede ou atuacao no municipio;manter no acervo historico, retirar da fila de verificacao ate que o titular amplie a abrangencia
