prioridade;situacao;fim;dias_restantes;veredito;uf;municipio;orgao;titulo;faltam;pagina_oficial;motivo_sem_pagina_oficial;familia_de_rota;exige_navegador;id
3;sem_prazo_confirmado;;;aprovado;BA;BA/Dias d'Ávila;PNCP — MUNICIPIO DE DIAS D'AVILA;Chamamento público para premiação de agentes culturais, pessoa física, residentes e domiciliados no Município de Dias D`Ávila/BA, mediante seleção de artistas (solo), duplas (grupo coletivo) e grupos de dança (grupo coletivo) para participarem da 2º Edição do Festival Conexão Dança 2027.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;0ce9e2dee2377128a078
3;sem_prazo_confirmado;;;aprovado;SP;SP/Piraju;PNCP — CONSORCIO INTERMUNICIPAL DO ALTO VALE DO PARANAPANEMA - AMVAPA.;SELEÇÃO DE ORGANIZAÇÃO DA SOCIEDADE CIVIL – OSC, SEM FINS LUCRATIVOS, REGULARMENTE CONSTITUÍDA, QUALIFICADA E INTERESSADA EM CELEBRAR PARCERIA COM O CONSÓRCIO INTERMUNICIPAL DO ALTO VALE DO PARANAPANEMA – AMVAPA, PARA EXECUÇÃO DE SERVIÇO DE ACOLHIMENTO INSTITUCIONAL NA MODALIDADE DE RESIDÊNCIA;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;1229a56cafe058007b03
3;sem_prazo_confirmado;;;aprovado;RS;RS/Passo Fundo;PNCP — MUNICIPIO DE PASSO FUNDO;Seleção de Organizações da Sociedade Civil - OSC, sem fins lucrativos, para celebrar Termo de Colaboração, voltadas ao atendimento de pessoas idosas, com idade igual ou superior a 60 (sessenta) anos de idade, em situação de vulnerabilidade social.FUMUI;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;279fd5164589758e182c
3;sem_prazo_confirmado;;;aprovado;RS;RS/Passo Fundo;PNCP — MUNICIPIO DE PASSO FUNDO;Seleção de projetos apresentados por Organizações da Sociedade Civil - OSCs, sem fins lucrativos, para celebrar Termo de Fomento, voltadas ao atendimento de crianças e adolescentes em situação de vulnerabilidade social.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;2e9711152378cd8aacd9
3;sem_prazo_confirmado;;;aprovado;BA;BA/Dias d'Ávila;PNCP — MUNICIPIO DE DIAS D'AVILA;A seleção e o fomento de 01 (um) projeto cultural coletivo de dança, voltado à criação, circulação e apresentação de espetáculo(s) de dança de rua, a serem realizados em 10 (dez) bairros do município, ou seja , 10 (dez) apresentações, em espaços públicos, de forma gratuita e aberta à comunidade.1 O;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;3cda5dffd549be2cd079
3;sem_prazo_confirmado;;;aprovado;PR;PR/Nova Esperança;PNCP — MUNICIPIO DE NOVA ESPERANCA;Chamamento Público tem por objeto a seleção de propostas/plano de trabalho das organizações da sociedade civil interessadas na celebração de Termo de Colaboração, com a finalidade da presente contratação é atender demanda apresentada pela Política de Assistência Social e apoio as Organizações da Soc;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;3dd2e9ce702aae7659a5
3;sem_prazo_confirmado;;;aprovado;BA;Itacaré;MUNICIPIO DE ITACARE;000010;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;498e3904
3;sem_prazo_confirmado;;;aprovado;RJ;RJ/Arraial do Cabo;PNCP — MUNICIPIO DE ARRAIAL DO CABO;O presente Chamamento Público tem por objeto a seleção de Organização da Sociedade Civil (OSC) para celebração de Termo de Colaboração com o Município de Arraial do Cabo, por intermédio do Fundo Municipal de Educação, visando à execução do Programa EDUCA+ ARRAIAL.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;4e5bcf840dc7ce3ea6e2
3;sem_prazo_confirmado;;;aprovado;PI;PI/Floriano;PNCP — MUNICIPIO DE FLORIANO;CHAMAMENTO PÚBLICO PARA PACTUAÇÃO DE TERMO DE COLABORAÇÃO ENTRE A SECRETARIA MUNICIPAL DE TURISMO E DESENVOLVIMENTO ECONÔMICO – SEMTUDEC E ORGANIZAÇÃO DA SOCIEDADE CIVIL, PARA APRESENTAÇÃO E EXECUÇÃO DO PROJETO “NATAL DE FLORIANO 2024” EM PARCERIA COM A SECRETARIA MUNICIPAL DE TURISMO E DESENVOLVIM;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;52aae9ce41ad52f83809
3;sem_prazo_confirmado;;;aprovado;PR;Colombo;MUNICIPIO DE COLOMBO;Credenciamento no CHAMAMENTO PÚBLICO Nº. 002/2025, referente ao Credenciamento de Entidades sem fins lucrativos do Município de Colombo, para doação de bens móveis declarados inservíveis pela Prefeitura Municipal de Colombo.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;5b28b15d43e434599db1
