0.00.000.328 I srv  llama_server: initializing ...
0.00.009.616 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.010.060 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.011.316 I srv    load_model: loading model '/home/runner/work/Eldorado/Eldorado/ia_local/modelos/Llama-3.2-3B-Instruct-Q4_K_M.gguf'
0.01.910.491 I cmn          init: llama threadpool init, n_threads = 4
0.02.153.466 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.161.958 I srv  llama_server: model loaded
0.02.161.969 I srv  llama_server: listening on http://127.0.0.1:8081
0.03.035.111 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.035.319 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.20.403.602 I slot print_timing: id  3 | task 0 | prompt eval time =   11631.96 ms /   360 tokens (   32.31 ms per token,    30.95 tokens per second)
0.20.403.611 I slot print_timing: id  3 | task 0 |        eval time =    5736.27 ms /    85 tokens (   68.29 ms per token,    14.64 tokens per second)
0.20.403.612 I slot print_timing: id  3 | task 0 |       total time =   17368.23 ms /   445 tokens
0.20.403.618 I slot print_timing: id  3 | task 0 |    graphs reused =         84
0.20.403.713 I slot      release: id  3 | task 0 | stop processing: n_tokens = 444, truncated = 0
0.20.423.651 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.437 (> 0.100 thold), f_keep = 0.259
0.20.430.943 I slot launch_slot_: id  3 | task 86 | processing task, is_child = 0
0.31.765.508 I slot print_timing: id  3 | task 86 | prompt eval time =    4784.30 ms /   148 tokens (   32.33 ms per token,    30.93 tokens per second)
0.31.765.515 I slot print_timing: id  3 | task 86 |        eval time =    6550.20 ms /    97 tokens (   68.23 ms per token,    14.66 tokens per second)
0.31.765.516 I slot print_timing: id  3 | task 86 |       total time =   11334.50 ms /   245 tokens
0.31.765.518 I slot print_timing: id  3 | task 86 |    graphs reused =        179
0.31.765.589 I slot      release: id  3 | task 86 | stop processing: n_tokens = 359, truncated = 0
0.31.778.011 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.371 (> 0.100 thold), f_keep = 0.320
0.31.789.094 I slot launch_slot_: id  3 | task 184 | processing task, is_child = 0
0.38.506.999 I slot print_timing: id  3 | task 184 | prompt eval time =    2360.13 ms /    70 tokens (   33.72 ms per token,    29.66 tokens per second)
0.38.507.017 I slot print_timing: id  3 | task 184 |        eval time =    4357.71 ms /    65 tokens (   68.09 ms per token,    14.69 tokens per second)
0.38.507.018 I slot print_timing: id  3 | task 184 |       total time =    6717.84 ms /   135 tokens
0.38.507.019 I slot print_timing: id  3 | task 184 |    graphs reused =        242
0.38.508.350 I slot      release: id  3 | task 184 | stop processing: n_tokens = 374, truncated = 0
0.38.518.619 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.549 (> 0.100 thold), f_keep = 0.642
0.38.518.859 I slot launch_slot_: id  3 | task 250 | processing task, is_child = 0
0.51.519.584 I slot print_timing: id  3 | task 250 | prompt eval time =    6473.81 ms /   197 tokens (   32.86 ms per token,    30.43 tokens per second)
0.51.519.594 I slot print_timing: id  3 | task 250 |        eval time =    6526.87 ms /    95 tokens (   69.43 ms per token,    14.40 tokens per second)
0.51.519.595 I slot print_timing: id  3 | task 250 |       total time =   13000.68 ms /   292 tokens
0.51.519.597 I slot print_timing: id  3 | task 250 |    graphs reused =        334
0.51.521.316 I slot      release: id  3 | task 250 | stop processing: n_tokens = 531, truncated = 0
0.51.529.586 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.416 (> 0.100 thold), f_keep = 0.443
0.51.538.061 I slot launch_slot_: id  3 | task 346 | processing task, is_child = 0
1.09.696.176 I slot print_timing: id  3 | task 346 | n_gen =    100, tg =  13.62 t/s, tg_3s =  13.76 t/s
1.12.625.659 I slot print_timing: id  3 | task 346 | prompt eval time =   10889.09 ms /   330 tokens (   33.00 ms per token,    30.31 tokens per second)
1.12.625.667 I slot print_timing: id  3 | task 346 |        eval time =   10198.45 ms /   140 tokens (   73.37 ms per token,    13.63 tokens per second)
1.12.625.668 I slot print_timing: id  3 | task 346 |       total time =   21087.55 ms /   470 tokens
1.12.625.669 I slot print_timing: id  3 | task 346 |    graphs reused =        472
1.12.627.104 I slot      release: id  3 | task 346 | stop processing: n_tokens = 704, truncated = 0
1.12.635.157 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.311 (> 0.100 thold), f_keep = 0.163
1.12.650.317 I slot launch_slot_: id  3 | task 487 | processing task, is_child = 0
1.23.851.877 I slot print_timing: id  3 | task 487 | prompt eval time =    5702.61 ms /   176 tokens (   32.40 ms per token,    30.86 tokens per second)
1.23.851.885 I slot print_timing: id  3 | task 487 |        eval time =    5498.89 ms /    82 tokens (   67.89 ms per token,    14.73 tokens per second)
1.23.851.886 I slot print_timing: id  3 | task 487 |       total time =   11201.50 ms /   258 tokens
1.23.851.888 I slot print_timing: id  3 | task 487 |    graphs reused =        552
1.23.851.964 I slot      release: id  3 | task 487 | stop processing: n_tokens = 451, truncated = 0
1.23.863.520 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.227 (> 0.100 thold), f_keep = 0.255
