0.00.000.339 I srv  llama_server: initializing ...
0.00.007.915 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.008.248 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.009.491 I srv    load_model: loading model '/home/runner/work/Eldorado/Eldorado/ia_local/modelos/Qwen3-1.7B-Q4_K_M.gguf'
0.00.326.459 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.00.929.910 I cmn          init: llama threadpool init, n_threads = 4
0.01.048.076 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.01.056.390 I srv  llama_server: model loaded
0.01.056.403 I srv  llama_server: listening on http://127.0.0.1:8082
0.02.027.610 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.02.027.839 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.21.573.781 I slot print_timing: id  3 | task 0 | n_gen =    100, tg =  18.78 t/s, tg_3s =  18.97 t/s
0.24.622.135 I slot print_timing: id  3 | task 0 | n_gen =    155, tg =  18.51 t/s, tg_3s =  18.04 t/s
0.27.666.621 I slot print_timing: id  3 | task 0 | n_gen =    210, tg =  18.39 t/s, tg_3s =  18.07 t/s
0.30.683.931 I slot print_timing: id  3 | task 0 | n_gen =    265, tg =  18.36 t/s, tg_3s =  18.23 t/s
0.33.726.337 I slot print_timing: id  3 | task 0 | n_gen =    320, tg =  18.31 t/s, tg_3s =  18.08 t/s
0.36.738.736 I slot print_timing: id  3 | task 0 | n_gen =    371, tg =  18.10 t/s, tg_3s =  16.93 t/s
0.38.486.546 I slot print_timing: id  3 | task 0 | prompt eval time =   14274.31 ms /  1229 tokens (   11.61 ms per token,    86.10 tokens per second)
0.38.486.611 I slot print_timing: id  3 | task 0 |        eval time =   22184.34 ms /   400 tokens (   55.60 ms per token,    17.99 tokens per second)
0.38.486.632 I slot print_timing: id  3 | task 0 |       total time =   36458.64 ms /  1629 tokens
0.38.486.671 I slot print_timing: id  3 | task 0 |    graphs reused =        397
0.38.488.380 I slot      release: id  3 | task 0 | stop processing: n_tokens = 1628, truncated = 0
0.38.500.486 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.382 (> 0.100 thold), f_keep = 0.057
0.38.523.801 I slot launch_slot_: id  3 | task 401 | processing task, is_child = 0
0.43.962.107 I slot print_timing: id  3 | task 401 | n_gen =    100, tg =  26.03 t/s, tg_3s =  26.29 t/s
0.46.988.866 I slot print_timing: id  3 | task 401 | n_gen =    174, tg =  25.33 t/s, tg_3s =  24.45 t/s
0.49.994.567 I slot print_timing: id  3 | task 401 | n_gen =    250, tg =  25.31 t/s, tg_3s =  25.29 t/s
0.53.024.071 I slot print_timing: id  3 | task 401 | n_gen =    322, tg =  24.95 t/s, tg_3s =  23.77 t/s
0.56.027.225 I slot print_timing: id  3 | task 401 | n_gen =    391, tg =  24.58 t/s, tg_3s =  22.98 t/s
0.56.416.106 I slot print_timing: id  3 | task 401 | prompt eval time =    1634.63 ms /   149 tokens (   10.97 ms per token,    91.15 tokens per second)
0.56.416.120 I slot print_timing: id  3 | task 401 |        eval time =   16257.62 ms /   400 tokens (   40.75 ms per token,    24.54 tokens per second)
0.56.416.120 I slot print_timing: id  3 | task 401 |       total time =   17892.25 ms /   549 tokens
0.56.416.122 I slot print_timing: id  3 | task 401 |    graphs reused =        793
0.56.416.510 I slot      release: id  3 | task 401 | stop processing: n_tokens = 640, truncated = 0
0.56.428.868 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.56.441.443 I slot launch_slot_: id  2 | task 802 | processing task, is_child = 0
1.03.145.319 I slot print_timing: id  2 | task 802 | n_gen =    100, tg =  17.64 t/s, tg_3s =  17.82 t/s
1.06.178.690 I slot print_timing: id  2 | task 802 | n_gen =    154, tg =  17.70 t/s, tg_3s =  17.80 t/s
1.09.216.244 I slot print_timing: id  2 | task 802 | n_gen =    208, tg =  17.72 t/s, tg_3s =  17.78 t/s
1.12.249.069 I slot print_timing: id  2 | task 802 | n_gen =    262, tg =  17.74 t/s, tg_3s =  17.81 t/s
1.15.255.070 I slot print_timing: id  2 | task 802 | n_gen =    315, tg =  17.72 t/s, tg_3s =  17.63 t/s
1.18.279.518 I slot print_timing: id  2 | task 802 | n_gen =    367, tg =  17.64 t/s, tg_3s =  17.19 t/s
1.20.214.083 I slot print_timing: id  2 | task 802 | prompt eval time =    1082.22 ms /    72 tokens (   15.03 ms per token,    66.53 tokens per second)
1.20.214.140 I slot print_timing: id  2 | task 802 |        eval time =   22681.44 ms /   400 tokens (   56.85 ms per token,    17.59 tokens per second)
1.20.214.158 I slot print_timing: id  2 | task 802 |       total time =   23763.66 ms /   472 tokens
1.20.214.175 I slot print_timing: id  2 | task 802 |    graphs reused =       1191
1.20.215.629 I slot      release: id  2 | task 802 | stop processing: n_tokens = 1578, truncated = 0
1.20.229.897 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.849 (> 0.100 thold), f_keep = 0.702
1.20.230.071 I slot launch_slot_: id  2 | task 1203 | processing task, is_child = 0
1.28.462.681 I slot print_timing: id  2 | task 1203 | n_gen =    100, tg =  17.74 t/s, tg_3s =  17.91 t/s
