0.00.000.395 I srv  llama_server: initializing ...
0.00.009.710 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.010.141 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.011.457 I srv    load_model: loading model '/home/runner/work/Eldorado/Eldorado/ia_local/modelos/qwen2.5-3b-instruct-q4_k_m.gguf'
0.00.458.997 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.670.667 I cmn          init: llama threadpool init, n_threads = 4
0.01.880.576 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.01.887.299 I srv  llama_server: model loaded
0.01.887.316 I srv  llama_server: listening on http://127.0.0.1:8081
0.02.024.299 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.02.024.519 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.19.018.957 I slot print_timing: id  3 | task 0 | n_gen =    100, tg =  16.06 t/s, tg_3s =  16.22 t/s
0.22.019.494 I slot print_timing: id  3 | task 0 | n_gen =    148, tg =  16.04 t/s, tg_3s =  16.00 t/s
0.23.706.527 I slot print_timing: id  3 | task 0 | prompt eval time =   10830.85 ms /   339 tokens (   31.95 ms per token,    31.30 tokens per second)
0.23.706.580 I slot print_timing: id  3 | task 0 |        eval time =   10851.09 ms /   175 tokens (   62.36 ms per token,    16.04 tokens per second)
0.23.706.602 I slot print_timing: id  3 | task 0 |       total time =   21681.94 ms /   514 tokens
0.23.706.630 I slot print_timing: id  3 | task 0 |    graphs reused =        173
0.23.707.093 I slot      release: id  3 | task 0 | stop processing: n_tokens = 513, truncated = 0
0.23.716.588 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.382 (> 0.100 thold), f_keep = 0.179
0.23.719.904 I slot launch_slot_: id  3 | task 176 | processing task, is_child = 0
0.32.661.486 I slot print_timing: id  3 | task 176 | prompt eval time =    4778.65 ms /   149 tokens (   32.07 ms per token,    31.18 tokens per second)
0.32.661.552 I slot print_timing: id  3 | task 176 |        eval time =    4162.86 ms /    68 tokens (   62.13 ms per token,    16.09 tokens per second)
0.32.661.579 I slot print_timing: id  3 | task 176 |       total time =    8941.50 ms /   217 tokens
0.32.661.605 I slot print_timing: id  3 | task 176 |    graphs reused =        238
0.32.661.691 I slot      release: id  3 | task 176 | stop processing: n_tokens = 308, truncated = 0
