0.00.000.338 I srv  llama_server: initializing ...
0.00.009.664 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.010.121 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.010.201 E srv         start: couldn't bind HTTP server socket, hostname: 127.0.0.1, port: 8081
0.00.010.205 I srv    operator(): operator(): cleaning up before exit...
0.00.010.274 E srv  llama_server: exiting due to HTTP server error
0.00.000.364 I srv  llama_server: initializing ...
0.00.009.473 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.009.880 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.011.145 I srv    load_model: loading model '/home/runner/work/Eldorado/Eldorado/ia_local/modelos/Llama-3.2-3B-Instruct-Q4_K_M.gguf'
0.01.837.951 I cmn          init: llama threadpool init, n_threads = 4
0.02.071.635 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.077.197 I srv  llama_server: model loaded
0.02.077.215 I srv  llama_server: listening on http://127.0.0.1:8081
0.03.009.754 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.009.987 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.21.225.524 I slot print_timing: id  3 | task 0 | n_gen =    100, tg =  15.01 t/s, tg_3s =  15.16 t/s
0.21.556.117 I slot print_timing: id  3 | task 0 | prompt eval time =   11619.03 ms /   360 tokens (   32.28 ms per token,    30.98 tokens per second)
0.21.556.124 I slot print_timing: id  3 | task 0 |        eval time =    6927.03 ms /   105 tokens (   66.61 ms per token,    15.01 tokens per second)
0.21.556.125 I slot print_timing: id  3 | task 0 |       total time =   18546.06 ms /   465 tokens
0.21.556.131 I slot print_timing: id  3 | task 0 |    graphs reused =        104
0.21.556.226 I slot      release: id  3 | task 0 | stop processing: n_tokens = 464, truncated = 0
0.21.567.232 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.437 (> 0.100 thold), f_keep = 0.248
0.21.575.593 I slot launch_slot_: id  3 | task 106 | processing task, is_child = 0
0.32.753.354 I slot print_timing: id  3 | task 106 | prompt eval time =    4826.31 ms /   148 tokens (   32.61 ms per token,    30.67 tokens per second)
0.32.753.364 I slot print_timing: id  3 | task 106 |        eval time =    6351.40 ms /    97 tokens (   66.16 ms per token,    15.11 tokens per second)
0.32.753.365 I slot print_timing: id  3 | task 106 |       total time =   11177.71 ms /   245 tokens
0.32.753.367 I slot print_timing: id  3 | task 106 |    graphs reused =        199
0.32.754.660 I slot      release: id  3 | task 106 | stop processing: n_tokens = 359, truncated = 0
